연번,유형,미술관명,연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,시립,인천아트플랫폼,2011,19182,31171,32252,35753,44104,33341,31874,35315,25522,30608,24784,21091
2,시립,인천아트플랫폼,2012,21437,19525,20299,39979,42720,31089,34298,35403,32552,47084,39510,38080
3,시립,인천아트플랫폼,2013,25719,21337,24852,25433,32235,23443,33640,40073,46532,56879,47963,39382
4,시립,인천아트플랫폼,2014,25867,23488,28107,34926,43087,36053,37025,38125,40920,59059,43128,29927
5,시립,인천아트플랫폼,2015,5767,230,2804,3010,11950,6473,4390,2284,7602,7675,7827,3012
6,시립,인천아트플랫폼,2016,960,1260,4191,1246,10572,7857,9919,11020,10206,10010,8627,3393
7,시립,인천아트플랫폼,2017,246,6081,3831,2307,12087,11218,5313,7534,17552,16185,8703,3665
8,시립,인천아트플랫폼,2018,1315,1420,2610,4000,18500,12500,7562,8432,11332,18750,9560,6650
9,시립,인천아트플랫폼,2019,1250,1700,6230,4600,19200,13700,8400,8900,15949,9500,4084,4115
10,시립,인천아트플랫폼,2020,4767,1015,0,0,450,0,160,780,297,1300,2100,950
11,시립,인천아트플랫폼,2021,991,1326,1041,176,1428,2565,2285,3134,2566,3706,636,2078
12,시립,인천아트플랫폼,2022,2272,2069,3000,2719,5982,2765,2245,5513,2334,6081,2970,3035
13,시립,인천아트플랫폼,2023,2183,2675,1421,420,10380,6155,2480,8334,9557,11173,4923,3861
